iter	Logloss
0	0.6892976761
1	0.6831696033
2	0.6764701843
3	0.6729319572
4	0.6690870762
5	0.6668991089
6	0.6626701355
7	0.6567661762
8	0.6518945694
9	0.6479073048
10	0.6455889702
11	0.6412430763
12	0.6387141228
13	0.6366314888
14	0.633147049
15	0.6309978485
16	0.6289386272
17	0.6254029274
18	0.620761919
19	0.6193377018
20	0.6146304607
21	0.6104195595
22	0.6073097706
23	0.6028652191
24	0.6008392811
25	0.5987312794
26	0.596137619
27	0.5943580627
28	0.5929109097
29	0.5920546532
30	0.5892165184
31	0.5870750904
32	0.5833965778
33	0.5813551903
34	0.5794088364
35	0.5763750076
36	0.5752179146
37	0.5720054626
38	0.5706262589
39	0.5698643208
40	0.5677992344
41	0.566032505
42	0.5640283585
43	0.5609068871
44	0.5583129883
45	0.5570333004
46	0.5553589344
47	0.5540789127
48	0.5528157234
49	0.5514375687
