timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1765098000000,111,HTTP Request - /api/products,200,OK,Thread Group 1-1,text,true,,1323,453,5,5,http://api.demo.com/api/products,111,0,8
1765098000085,127,HTTP Request - /api/users,200,OK,Thread Group 1-2,text,true,,2271,341,5,5,http://api.demo.com/api/users,127,0,10
1765098000172,91,HTTP Request - /api/products,200,OK,Thread Group 1-3,text,true,,2793,484,5,5,http://api.demo.com/api/products,91,0,2
1765098000281,99,HTTP Request - /api/inventory,200,OK,Thread Group 1-4,text,true,,1965,494,5,5,http://api.demo.com/api/inventory,99,0,9
1765098000368,106,HTTP Request - /api/products,200,OK,Thread Group 1-5,text,true,,2606,494,5,5,http://api.demo.com/api/products,106,0,10
1765098000458,106,HTTP Request - /api/inventory,200,OK,Thread Group 1-1,text,true,,2826,318,5,5,http://api.demo.com/api/inventory,106,0,1
1765098000550,139,HTTP Request - /api/orders,200,OK,Thread Group 1-2,text,true,,3882,468,5,5,http://api.demo.com/api/orders,139,0,4
1765098000646,94,HTTP Request - /api/orders,200,OK,Thread Group 1-3,text,true,,2977,286,5,5,http://api.demo.com/api/orders,94,0,5
1765098000744,141,HTTP Request - /api/inventory,200,OK,Thread Group 1-4,text,true,,2370,329,5,5,http://api.demo.com/api/inventory,141,0,9
1765098000828,84,HTTP Request - /api/users,200,OK,Thread Group 1-5,text,true,,2245,506,5,5,http://api.demo.com/api/users,84,0,5
1765098000934,131,HTTP Request - /api/orders,200,OK,Thread Group 1-1,text,true,,2226,476,5,5,http://api.demo.com/api/orders,131,0,10
1765098001038,109,HTTP Request - /api/users,200,OK,Thread Group 1-2,text,true,,2662,351,5,5,http://api.demo.com/api/users,109,0,10
1765098001124,91,HTTP Request - /api/inventory,200,OK,Thread Group 1-3,text,true,,2413,389,5,5,http://api.demo.com/api/inventory,91,0,5
1765098001214,92,HTTP Request - /api/users,200,OK,Thread Group 1-4,text,true,,1174,452,5,5,http://api.demo.com/api/users,92,0,2
1765098001328,125,HTTP Request - /api/orders,200,OK,Thread Group 1-5,text,true,,3010,260,5,5,http://api.demo.com/api/orders,125,0,10
1765098001421,124,HTTP Request - /api/products,200,OK,Thread Group 1-1,text,true,,2725,302,5,5,http://api.demo.com/api/products,124,0,3
1765098001534,97,HTTP Request - /api/orders,200,OK,Thread Group 1-2,text,true,,1169,416,5,5,http://api.demo.com/api/orders,97,0,7
1765098001614,136,HTTP Request - /api/products,200,OK,Thread Group 1-3,text,true,,3259,406,5,5,http://api.demo.com/api/products,136,0,1
1765098001713,112,HTTP Request - /api/checkout,200,OK,Thread Group 1-4,text,true,,3526,291,5,5,http://api.demo.com/api/checkout,112,0,1
1765098001817,144,HTTP Request - /api/orders,200,OK,Thread Group 1-5,text,true,,3994,278,5,5,http://api.demo.com/api/orders,144,0,3
1765098001934,106,HTTP Request - /api/users,200,OK,Thread Group 1-1,text,true,,2920,393,5,5,http://api.demo.com/api/users,106,0,4
1765098002014,109,HTTP Request - /api/checkout,200,OK,Thread Group 1-2,text,true,,1669,498,5,5,http://api.demo.com/api/checkout,109,0,4
1765098002100,91,HTTP Request - /api/orders,200,OK,Thread Group 1-3,text,true,,4036,505,5,5,http://api.demo.com/api/orders,91,0,10
1765098002203,85,HTTP Request - /api/inventory,200,OK,Thread Group 1-4,text,true,,1726,505,5,5,http://api.demo.com/api/inventory,85,0,7
1765098002304,102,HTTP Request - /api/inventory,200,OK,Thread Group 1-5,text,true,,1993,492,5,5,http://api.demo.com/api/inventory,102,0,10
1765098002391,95,HTTP Request - /api/users,200,OK,Thread Group 1-1,text,true,,2361,324,5,5,http://api.demo.com/api/users,95,0,8
1765098002496,108,HTTP Request - /api/checkout,200,OK,Thread Group 1-2,text,true,,2481,495,5,5,http://api.demo.com/api/checkout,108,0,4
1765098002595,136,HTTP Request - /api/inventory,200,OK,Thread Group 1-3,text,true,,4056,281,5,5,http://api.demo.com/api/inventory,136,0,8
1765098002684,130,HTTP Request - /api/checkout,200,OK,Thread Group 1-4,text,true,,2016,508,5,5,http://api.demo.com/api/checkout,130,0,9
1765098002773,138,HTTP Request - /api/checkout,200,OK,Thread Group 1-5,text,true,,2927,308,5,5,http://api.demo.com/api/checkout,138,0,5
1765098002876,150,HTTP Request - /api/orders,200,OK,Thread Group 1-1,text,true,,2330,318,5,5,http://api.demo.com/api/orders,150,0,6
1765098002988,96,HTTP Request - /api/orders,200,OK,Thread Group 1-2,text,true,,3473,349,5,5,http://api.demo.com/api/orders,96,0,6
1765098003095,134,HTTP Request - /api/users,200,OK,Thread Group 1-3,text,true,,1634,348,5,5,http://api.demo.com/api/users,134,0,8
1765098003191,117,HTTP Request - /api/checkout,200,OK,Thread Group 1-4,text,true,,3920,337,5,5,http://api.demo.com/api/checkout,117,0,8
1765098003271,145,HTTP Request - /api/products,200,OK,Thread Group 1-5,text,true,,2243,391,5,5,http://api.demo.com/api/products,145,0,3
1765098003354,115,HTTP Request - /api/checkout,200,OK,Thread Group 1-1,text,true,,3359,286,5,5,http://api.demo.com/api/checkout,115,0,3
1765098003440,113,HTTP Request - /api/checkout,200,OK,Thread Group 1-2,text,true,,3707,339,5,5,http://api.demo.com/api/checkout,113,0,3
1765098003547,90,HTTP Request - /api/orders,200,OK,Thread Group 1-3,text,true,,2903,338,5,5,http://api.demo.com/api/orders,90,0,10
1765098003642,135,HTTP Request - /api/products,200,OK,Thread Group 1-4,text,true,,1877,361,5,5,http://api.demo.com/api/products,135,0,4
1765098003751,82,HTTP Request - /api/checkout,200,OK,Thread Group 1-5,text,true,,2653,437,5,5,http://api.demo.com/api/checkout,82,0,6
1765098003867,104,HTTP Request - /api/products,200,OK,Thread Group 1-1,text,true,,1789,500,5,5,http://api.demo.com/api/products,104,0,4
1765098003976,113,HTTP Request - /api/users,200,OK,Thread Group 1-2,text,true,,1469,369,5,5,http://api.demo.com/api/users,113,0,8
1765098004079,81,HTTP Request - /api/users,200,OK,Thread Group 1-3,text,true,,1150,449,5,5,http://api.demo.com/api/users,81,0,8
1765098004164,128,HTTP Request - /api/products,200,OK,Thread Group 1-4,text,true,,2695,269,5,5,http://api.demo.com/api/products,128,0,1
1765098004256,139,HTTP Request - /api/products,200,OK,Thread Group 1-5,text,true,,2810,503,5,5,http://api.demo.com/api/products,139,0,9
1765098004362,148,HTTP Request - /api/inventory,200,OK,Thread Group 1-1,text,true,,2054,273,5,5,http://api.demo.com/api/inventory,148,0,1
1765098004479,135,HTTP Request - /api/orders,200,OK,Thread Group 1-2,text,true,,4093,293,5,5,http://api.demo.com/api/orders,135,0,7
1765098004576,105,HTTP Request - /api/inventory,200,OK,Thread Group 1-3,text,true,,3031,262,5,5,http://api.demo.com/api/inventory,105,0,8
1765098004662,112,HTTP Request - /api/products,200,OK,Thread Group 1-4,text,true,,3961,256,5,5,http://api.demo.com/api/products,112,0,9
1765098004778,132,HTTP Request - /api/checkout,200,OK,Thread Group 1-5,text,true,,3702,385,5,5,http://api.demo.com/api/checkout,132,0,2
1765098004874,136,HTTP Request - /api/users,200,OK,Thread Group 1-1,text,true,,2762,404,5,5,http://api.demo.com/api/users,136,0,1
1765098004976,80,HTTP Request - /api/users,200,OK,Thread Group 1-2,text,true,,2748,511,5,5,http://api.demo.com/api/users,80,0,2
1765098005063,148,HTTP Request - /api/inventory,200,OK,Thread Group 1-3,text,true,,3251,410,5,5,http://api.demo.com/api/inventory,148,0,10
1765098005167,147,HTTP Request - /api/inventory,200,OK,Thread Group 1-4,text,true,,1719,351,5,5,http://api.demo.com/api/inventory,147,0,2
1765098005256,98,HTTP Request - /api/products,200,OK,Thread Group 1-5,text,true,,3790,446,5,5,http://api.demo.com/api/products,98,0,9
1765098005374,125,HTTP Request - /api/orders,200,OK,Thread Group 1-1,text,true,,1776,267,5,5,http://api.demo.com/api/orders,125,0,4
1765098005489,85,HTTP Request - /api/products,200,OK,Thread Group 1-2,text,true,,2401,495,5,5,http://api.demo.com/api/products,85,0,2
1765098005603,110,HTTP Request - /api/inventory,200,OK,Thread Group 1-3,text,true,,3432,285,5,5,http://api.demo.com/api/inventory,110,0,9
1765098005712,126,HTTP Request - /api/checkout,200,OK,Thread Group 1-4,text,true,,1551,412,5,5,http://api.demo.com/api/checkout,126,0,5
1765098005829,100,HTTP Request - /api/products,200,OK,Thread Group 1-5,text,true,,1100,385,5,5,http://api.demo.com/api/products,100,0,9
1765098005948,91,HTTP Request - /api/products,200,OK,Thread Group 1-1,text,true,,2539,444,5,5,http://api.demo.com/api/products,91,0,8
1765098006038,146,HTTP Request - /api/orders,200,OK,Thread Group 1-2,text,true,,3634,291,5,5,http://api.demo.com/api/orders,146,0,8
1765098006146,116,HTTP Request - /api/users,200,OK,Thread Group 1-3,text,true,,1728,364,5,5,http://api.demo.com/api/users,116,0,8
